Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2020-09-01,00:00,21.50,55.71,25.00,,,,,,0.00,1.00,-58.00,57.00,-47.00,52.00,-49.00,50.00,-53.00,60.00
2020-09-01,00:15,21.28,55.40,22.00,,,,,,0.00,0.00,-54.00,51.00,-52.00,52.00,-52.00,44.00,-54.00,55.00
2020-09-01,00:30,21.27,55.43,240.00,,,,,,0.00,2.00,-54.00,47.00,-50.00,45.00,-60.00,69.00,-60.00,55.00
2020-09-01,00:45,21.30,55.22,292.00,,,,,,1.00,2.00,-54.00,54.00,-50.00,55.00,-58.00,50.00,-54.00,60.00
2020-09-01,01:00,21.28,54.80,24.00,,,,,,2.00,2.00,-56.00,49.00,-49.00,49.00,-45.00,44.00,-54.00,57.00
2020-09-01,01:15,21.25,54.61,35.00,,,,,,2.00,2.00,-57.00,58.00,-50.00,50.00,-48.00,51.00,-55.00,60.00
2020-09-01,01:30,21.17,54.44,22.00,,,,,,2.00,2.00,-60.00,51.00,-48.00,45.00,-48.00,48.00,-52.00,52.00
2020-09-01,01:45,21.12,54.41,21.00,,,,,,2.00,2.00,-66.00,58.00,-51.00,47.00,-53.00,49.00,-63.00,55.00
2020-09-01,02:00,21.08,54.37,22.00,,,,,,2.00,2.00,-57.00,58.00,-51.00,57.00,-57.00,54.00,-56.00,67.00
2020-09-01,02:15,21.06,54.30,21.00,,,,,,2.00,2.00,-56.00,55.00,-53.00,49.00,-50.00,51.00,-63.00,51.00
2020-09-01,02:30,21.03,54.44,394.00,,,,,,2.00,2.00,-57.00,53.00,-55.00,51.00,-67.00,63.00,-52.00,55.00
2020-09-01,02:45,21.07,54.59,412.00,,,,,,2.00,2.00,-55.00,52.00,-49.00,56.00,-65.00,84.00,-58.00,82.00
2020-09-01,03:00,21.15,54.53,417.00,,,,,,0.00,2.00,-82.00,93.00,-176.00,298.00,-169.00,222.00,-84.00,69.00
2020-09-01,03:15,21.13,54.78,22.00,,,,,,0.00,0.00,-63.00,51.00,-51.00,49.00,-56.00,50.00,-53.00,55.00
2020-09-01,03:30,21.10,54.40,24.00,,,,,,0.00,0.00,-58.00,54.00,-52.00,48.00,-49.00,47.00,-64.00,54.00
2020-09-01,03:45,21.05,54.27,28.00,,,,,,0.00,0.00,-50.00,58.00,-53.00,48.00,-52.00,48.00,-58.00,60.00
2020-09-01,04:00,,,,,,,,,,,,,,,,,,
2020-09-01,04:15,20.97,54.20,25.00,,,,,,0.00,0.00,-59.00,55.00,-55.00,50.00,-51.00,50.00,-55.00,57.00
2020-09-01,04:30,20.90,54.29,25.00,,,,,,0.00,0.00,-51.00,58.00,-46.00,46.00,-50.00,47.00,-53.00,52.00
2020-09-01,04:45,20.88,54.34,21.00,,,,,,0.00,0.00,-55.00,53.00,-48.00,46.00,-47.00,52.00,-54.00,54.00
2020-09-01,05:00,,,,,,,,,,,,,,,,,,
2020-09-01,05:15,20.86,54.34,23.00,,,,,,0.00,0.00,-57.00,58.00,-55.00,55.00,-53.00,51.00,-63.00,66.00
2020-09-01,05:30,20.81,54.38,23.00,,,,,,0.00,0.00,-50.00,49.00,-53.00,54.00,-50.00,48.00,-65.00,60.00
2020-09-01,05:45,20.78,54.35,25.00,,,,,,0.00,0.00,-59.00,52.00,-52.00,53.00,-59.00,47.00,-56.00,53.00
2020-09-01,06:00,,,,,,,,,,,,,,,,,,
2020-09-01,06:15,20.74,54.32,27.00,,,,,,0.00,0.00,-61.00,52.00,-51.00,50.00,-54.00,52.00,-59.00,58.00
2020-09-01,06:30,20.69,54.31,22.00,,,,,,0.00,0.00,-52.00,53.00,-53.00,50.00,-54.00,53.00,-58.00,52.00
2020-09-01,06:45,20.65,54.34,23.00,,,,,,0.00,0.00,-53.00,52.00,-51.00,49.00,-54.00,46.00,-57.00,60.00
2020-09-01,07:00,,,,,,,,,,,,,,,,,,
