Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2020-01-01,00:00,21.81,26.63,297.00,,,,,,1.00,1.00,-54.00,52.00,-42.00,49.00,-55.00,49.00,-55.00,50.00
2020-01-01,00:15,21.73,26.47,25.00,,,,,,1.00,1.00,-65.00,46.00,-50.00,43.00,-52.00,45.00,-53.00,55.00
2020-01-01,00:30,21.96,26.67,296.00,,,,,,1.00,1.00,-92.00,110.00,-180.00,205.00,-166.00,185.00,-81.00,91.00
2020-01-01,00:45,22.01,26.46,437.00,,,,,,1.00,1.00,-50.00,51.00,-51.00,49.00,-62.00,56.00,-57.00,56.00
2020-01-01,01:00,21.94,26.41,392.00,,,,,,1.00,1.00,-61.00,113.00,-91.00,225.00,-78.00,209.00,-57.00,110.00
2020-01-01,01:15,21.95,26.81,392.00,,,,,,0.00,1.00,-49.00,51.00,-52.00,62.00,-65.00,62.00,-51.00,65.00
2020-01-01,01:30,22.02,26.34,23.00,,,,,,1.00,1.00,-50.00,52.00,-46.00,42.00,-45.00,46.00,-52.00,53.00
2020-01-01,01:45,21.75,26.17,21.00,,,,,,1.00,1.00,-50.00,51.00,-47.00,53.00,-50.00,48.00,-65.00,52.00
2020-01-01,02:00,21.70,26.35,25.00,,,,,,1.00,1.00,-63.00,58.00,-56.00,51.00,-56.00,51.00,-59.00,67.00
2020-01-01,02:15,21.93,26.40,25.00,,,,,,1.00,1.00,-52.00,50.00,-52.00,48.00,-45.00,44.00,-57.00,54.00
2020-01-01,02:30,21.92,25.94,22.00,,,,,,1.00,1.00,-48.00,54.00,-51.00,47.00,-45.00,59.00,-51.00,57.00
2020-01-01,02:45,21.88,25.71,20.00,,,,,,1.00,1.00,-48.00,50.00,-45.00,46.00,-49.00,52.00,-55.00,58.00
2020-01-01,03:00,21.71,25.74,28.00,,,,,,1.00,1.00,-58.00,55.00,-59.00,52.00,-52.00,54.00,-52.00,58.00
2020-01-01,03:15,21.77,25.99,21.00,,,,,,1.00,1.00,-58.00,54.00,-50.00,52.00,-58.00,59.00,-63.00,57.00
2020-01-01,03:30,21.99,26.01,31.00,,,,,,1.00,1.00,-55.00,60.00,-48.00,53.00,-48.00,53.00,-52.00,65.00
