Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2020-10-01,00:00,22.29,57.63,319.00,,,,,,2.00,3.00,-53.00,58.00,-58.00,48.00,-64.00,60.00,-55.00,58.00
2020-10-01,00:15,22.22,57.34,458.00,,,,,,2.00,3.00,-56.00,55.00,-59.00,59.00,-59.00,82.00,-52.00,59.00
2020-10-01,00:30,,,,,,,,,,,,,,,,,,
2020-10-01,00:45,22.11,57.66,187.00,,,,,,2.00,3.00,-51.00,48.00,-47.00,45.00,-49.00,48.00,-60.00,54.00
2020-10-01,01:00,21.97,57.76,285.00,,,,,,2.00,3.00,-137.00,158.00,-225.00,283.00,-217.00,209.00,-102.00,118.00
2020-10-01,01:15,21.89,57.80,,,,,,,,,,,,,,,,
2020-10-01,01:30,21.87,57.86,465.00,,,,,,2.00,3.00,-73.00,172.00,-138.00,386.00,-135.00,322.00,-99.00,121.00
2020-10-01,01:45,21.92,58.67,353.00,,,,,,2.00,3.00,-60.00,134.00,-101.00,209.00,-117.00,205.00,-66.00,109.00
2020-10-01,02:00,22.12,58.05,573.00,,,,,,2.00,3.00,-52.00,87.00,-98.00,191.00,-113.00,185.00,-91.00,93.00
2020-10-01,02:15,22.10,57.56,22.00,,,,,,3.00,3.00,-50.00,48.00,-48.00,47.00,-49.00,48.00,-51.00,62.00
2020-10-01,02:30,21.99,57.35,399.00,,,,,,2.00,3.00,-49.00,50.00,-58.00,67.00,-51.00,63.00,-56.00,65.00
2020-10-01,02:45,21.93,57.51,440.00,,,,,,2.00,2.00,-54.00,51.00,-51.00,47.00,-53.00,53.00,-56.00,56.00
2020-10-01,03:00,21.90,57.56,24.00,,,,,,,,,,,,,,,
2020-10-01,03:15,21.76,57.58,221.00,,,,,,0.00,2.00,-69.00,112.00,-115.00,278.00,-112.00,251.00,-86.00,91.00
2020-10-01,03:30,,,,,,,,,,,,,,,,,,
2020-10-01,03:45,21.54,57.79,27.00,,,,,,0.00,0.00,-65.00,59.00,-54.00,48.00,-49.00,51.00,-51.00,58.00
2020-10-01,04:00,,,,,,,,,,,,,,,,,,
2020-10-01,04:15,21.33,57.66,27.00,,,,,,0.00,0.00,-60.00,56.00,-53.00,55.00,-54.00,53.00,-55.00,54.00
2020-10-01,04:30,,,,,,,,,,,,,,,,,,
