Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2019-11-01,00:00,21.79,42.92,22.00,,,,,,0.00,0.00,-51.00,64.00,-54.00,56.00,-55.00,53.00,-55.00,68.00
2019-11-01,00:15,22.11,43.04,25.00,,,,,,0.00,0.00,-54.00,49.00,-49.00,46.00,-48.00,51.00,-57.00,66.00
2019-11-01,00:30,22.26,42.07,23.00,,,,,,0.00,0.00,-53.00,48.00,-50.00,59.00,-51.00,61.00,-54.00,54.00
2019-11-01,00:45,22.25,41.51,34.00,,,,,,0.00,0.00,-53.00,57.00,-59.00,50.00,-54.00,53.00,-54.00,59.00
2019-11-01,01:00,22.16,41.60,136.00,,,,,,0.00,0.00,-77.00,50.00,-138.00,51.00,-86.00,51.00,-63.00,50.00
2019-11-01,01:15,22.09,41.90,90.00,,,,,,0.00,0.00,-54.00,56.00,-46.00,50.00,-48.00,53.00,-59.00,56.00
2019-11-01,01:30,,,,,,,,,,,,,,,,,,
2019-11-01,01:45,22.01,42.06,26.00,,,,,,0.00,0.00,-60.00,61.00,-57.00,58.00,-56.00,56.00,-61.00,63.00
2019-11-01,02:00,21.91,42.30,22.00,,,,,,0.00,0.00,-62.00,48.00,-45.00,44.00,-49.00,47.00,-50.00,54.00
2019-11-01,02:15,21.90,42.35,19.00,,,,,,0.00,0.00,-57.00,54.00,-51.00,46.00,-51.00,50.00,-58.00,53.00
2019-11-01,02:30,,,,,,,,,,,,,,,,,,
2019-11-01,02:45,21.80,42.45,23.00,,,,,,0.00,0.00,-63.00,62.00,-55.00,52.00,-55.00,55.00,-55.00,57.00
2019-11-01,03:00,21.75,42.50,,,,,,,,,-54.00,52.00,-50.00,42.00,-48.00,56.00,-47.00,52.00
2019-11-01,03:15,21.70,42.55,22.00,,,,,,0.00,0.00,-54.00,56.00,-53.00,44.00,-52.00,50.00,-62.00,70.00
2019-11-01,03:30,21.87,43.08,22.00,,,,,,0.00,0.00,-60.00,56.00,-47.00,49.00,-51.00,51.00,-190.00,53.00
