Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2020-04-01,00:00,22.31,31.07,466.00,,,,,,1.00,2.00,-65.00,78.00,-82.00,144.00,-91.00,149.00,-67.00,61.00
2020-04-01,00:15,22.31,29.97,392.00,,,,,,2.00,2.00,-60.00,83.00,-116.00,176.00,-133.00,196.00,-63.00,120.00
2020-04-01,00:30,22.10,29.03,400.00,,,,,,2.00,2.00,-45.00,48.00,-46.00,51.00,-58.00,65.00,-52.00,50.00
2020-04-01,00:45,21.84,28.76,182.00,,,,,,2.00,2.00,-61.00,51.00,-44.00,52.00,-55.00,47.00,-53.00,49.00
2020-04-01,01:00,21.77,28.94,23.00,,,,,,2.00,2.00,-55.00,52.00,-48.00,50.00,-59.00,55.00,-54.00,60.00
2020-04-01,01:15,22.01,29.20,23.00,,,,,,2.00,2.00,-56.00,50.00,-45.00,53.00,-47.00,43.00,-54.00,61.00
2020-04-01,01:30,22.05,28.95,25.00,,,,,,2.00,2.00,-52.00,47.00,-49.00,45.00,-49.00,47.00,-53.00,51.00
2020-04-01,01:45,21.95,28.94,20.00,,,,,,2.00,2.00,-51.00,50.00,-40.00,52.00,-52.00,49.00,-51.00,55.00
2020-04-01,02:00,21.86,28.84,367.00,,,,,,2.00,2.00,-59.00,64.00,-59.00,53.00,-63.00,58.00,-62.00,56.00
2020-04-01,02:15,21.68,28.45,26.00,,,,,,2.00,2.00,-59.00,52.00,-51.00,53.00,-60.00,64.00,-55.00,54.00
2020-04-01,02:30,21.83,28.60,383.00,,,,,,2.00,2.00,-54.00,51.00,-52.00,62.00,-75.00,97.00,-59.00,64.00
2020-04-01,02:45,22.02,28.56,22.00,,,,,,2.00,2.00,-51.00,53.00,-65.00,46.00,-47.00,50.00,-60.00,53.00
2020-04-01,03:00,22.02,28.20,418.00,,,,,,0.00,2.00,-75.00,55.00,-155.00,149.00,-173.00,132.00,-67.00,75.00
2020-04-01,03:15,21.98,28.23,45.00,,,,,,0.00,0.00,-54.00,54.00,-66.00,43.00,-55.00,49.00,-59.00,54.00
2020-04-01,03:30,21.81,28.01,27.00,,,,,,0.00,0.00,-63.00,54.00,-48.00,47.00,-50.00,57.00,-60.00,53.00
2020-04-01,03:45,21.81,27.92,24.00,,,,,,0.00,0.00,-56.00,58.00,-46.00,48.00,-56.00,52.00,-58.00,55.00
2020-04-01,04:00,22.07,28.04,23.00,,,,,,0.00,0.00,-59.00,54.00,-53.00,45.00,-47.00,50.00,-54.00,60.00
2020-04-01,04:15,22.10,27.36,23.00,,,,,,0.00,0.00,-60.00,69.00,-49.00,54.00,-59.00,53.00,-55.00,53.00
2020-04-01,04:30,22.00,27.44,28.00,,,,,,0.00,0.00,-52.00,62.00,-45.00,51.00,-49.00,53.00,-56.00,48.00
2020-04-01,04:45,21.94,27.43,24.00,,,,,,0.00,0.00,-51.00,49.00,-49.00,48.00,-56.00,47.00,-50.00,60.00
2020-04-01,05:00,21.82,27.34,25.00,,,,,,0.00,0.00,-55.00,62.00,-59.00,48.00,-54.00,49.00,-54.00,56.00
2020-04-01,05:15,21.67,27.13,24.00,,,,,,0.00,0.00,-58.00,55.00,-53.00,49.00,-59.00,53.00,-59.00,60.00
2020-04-01,05:30,21.77,27.18,20.00,,,,,,0.00,0.00,-60.00,57.00,-50.00,54.00,-52.00,51.00,-58.00,54.00
2020-04-01,05:45,21.99,27.32,22.00,,,,,,0.00,0.00,-59.00,52.00,-62.00,48.00,-52.00,47.00,-57.00,53.00
2020-04-01,06:00,22.00,26.77,26.00,,,,,,0.00,0.00,-51.00,54.00,-48.00,53.00,-49.00,56.00,-56.00,51.00
2020-04-01,06:15,21.97,26.45,23.00,,,,,,0.00,0.00,-60.00,63.00,-50.00,46.00,-50.00,52.00,-59.00,53.00
2020-04-01,06:30,21.83,26.67,27.00,,,,,,0.00,0.00,-56.00,55.00,-53.00,45.00,-52.00,58.00,-57.00,57.00
2020-04-01,06:45,21.72,26.51,25.00,,,,,,0.00,0.00,-55.00,54.00,-46.00,48.00,-53.00,51.00,-59.00,59.00
