Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2020-08-01,00:00,24.29,48.78,26.00,,,,,,1.00,2.00,-53.00,59.00,-51.00,50.00,-53.00,56.00,-57.00,54.00
2020-08-01,00:15,24.23,49.03,193.00,,,,,,0.00,1.00,-62.00,59.00,-52.00,53.00,-66.00,72.00,-57.00,68.00
2020-08-01,00:30,24.24,49.48,20.00,,,,,,0.00,0.00,-52.00,52.00,-46.00,44.00,-51.00,52.00,-53.00,54.00
2020-08-01,00:45,24.19,49.18,22.00,,,,,,0.00,0.00,-56.00,52.00,-50.00,49.00,-60.00,56.00,-53.00,66.00
2020-08-01,01:00,24.16,48.80,,,,,,,,,-51.00,58.00,-51.00,43.00,-51.00,56.00,-62.00,59.00
2020-08-01,01:15,24.10,48.85,22.00,,,,,,0.00,0.00,-65.00,54.00,-60.00,54.00,-52.00,50.00,-56.00,54.00
2020-08-01,01:30,23.99,48.03,21.00,,,,,,0.00,0.00,-57.00,56.00,-51.00,53.00,-56.00,57.00,-60.00,67.00
2020-08-01,01:45,24.00,48.31,23.00,,,,,,0.00,0.00,-55.00,56.00,-51.00,48.00,-49.00,49.00,-51.00,55.00
2020-08-01,02:00,23.97,48.19,215.00,,,,,,2.00,4.00,-64.00,61.00,-52.00,55.00,-55.00,51.00,-63.00,62.00
2020-08-01,02:15,23.94,48.02,22.00,,,,,,3.00,3.00,-56.00,56.00,-57.00,54.00,-59.00,51.00,-57.00,62.00
2020-08-01,02:30,23.93,49.88,266.00,,,,,,3.00,4.00,-57.00,53.00,-49.00,53.00,-65.00,63.00,-65.00,75.00
2020-08-01,02:45,24.01,50.06,167.00,,,,,,3.00,4.00,-53.00,54.00,-54.00,50.00,-50.00,56.00,-54.00,59.00
2020-08-01,03:00,24.02,49.63,,,,,,,,,-58.00,48.00,-46.00,45.00,-55.00,40.00,-52.00,54.00
2020-08-01,03:15,24.05,49.19,174.00,,,,,,0.00,3.00,-59.00,58.00,-48.00,50.00,-49.00,48.00,-54.00,57.00
2020-08-01,03:30,,,,,,,,,,,,,,,,,,
2020-08-01,03:45,23.89,48.61,28.00,,,,,,0.00,0.00,-58.00,61.00,-50.00,48.00,-53.00,50.00,-64.00,53.00
2020-08-01,04:00,,,,,,,,,,,,,,,,,,
2020-08-01,04:15,23.72,48.98,26.00,,,,,,0.00,0.00,-56.00,63.00,-52.00,53.00,-57.00,54.00,-63.00,61.00
2020-08-01,04:30,,,,,,,,,,,,,,,,,,
2020-08-01,04:45,23.59,48.86,24.00,,,,,,0.00,0.00,-59.00,62.00,-57.00,48.00,-54.00,58.00,-65.00,55.00
2020-08-01,05:00,,,,,,,,,,,,,,,,,,
2020-08-01,05:15,23.53,49.45,26.00,,,,,,0.00,0.00,-68.00,56.00,-59.00,58.00,-56.00,55.00,-68.00,58.00
2020-08-01,05:30,23.49,49.33,24.00,,,,,,0.00,0.00,-58.00,55.00,-53.00,54.00,-46.00,49.00,-63.00,55.00
2020-08-01,05:45,23.45,50.12,24.00,,,,,,0.00,0.00,-55.00,56.00,-54.00,49.00,-55.00,68.00,-61.00,60.00
2020-08-01,06:00,,,,,,,,,,,,,,,,,,
2020-08-01,06:15,23.40,50.60,22.00,,,,,,0.00,0.00,-59.00,65.00,-62.00,55.00,-58.00,50.00,-58.00,58.00
2020-08-01,06:30,,,,,,,,,,,,,,,,,,
2020-08-01,06:45,23.35,51.21,25.00,,,,,,0.00,0.00,-61.00,54.00,-57.00,47.00,-54.00,56.00,-68.00,68.00
2020-08-01,07:00,,,,,,,,,,,,,,,,,,
2020-08-01,07:15,23.33,51.93,22.00,,,,,,0.00,0.00,-57.00,59.00,-69.00,58.00,-54.00,60.00,-57.00,69.00
2020-08-01,07:30,,,,,,,,,,,,,,,,,,
2020-08-01,07:45,23.26,52.82,22.00,,,,,,0.00,0.00,-71.00,52.00,-55.00,51.00,-52.00,49.00,-67.00,64.00
2020-08-01,08:00,,,,,,,,,,,,,,,,,,
2020-08-01,08:15,23.22,53.50,25.00,,,,,,0.00,0.00,-60.00,63.00,-51.00,54.00,-58.00,53.00,-59.00,57.00
2020-08-01,08:30,,,,,,,,,,,,,,,,,,
2020-08-01,08:45,23.14,54.31,25.00,,,,,,0.00,0.00,-56.00,58.00,-55.00,52.00,-52.00,53.00,-60.00,58.00
2020-08-01,09:00,,,,,,,,,,,,,,,,,,
2020-08-01,09:15,23.08,55.89,23.00,,,,,,0.00,0.00,-56.00,63.00,-53.00,57.00,-62.00,53.00,-61.00,58.00
2020-08-01,09:30,23.02,56.76,20.00,,,,,,0.00,0.00,-50.00,56.00,-55.00,52.00,-50.00,46.00,-60.00,54.00
2020-08-01,09:45,23.02,56.59,26.00,,,,,,0.00,0.00,-58.00,56.00,-52.00,50.00,-48.00,55.00,-56.00,57.00
2020-08-01,10:00,,,,,,,,,,,,,,,,,,
2020-08-01,10:15,22.97,57.76,24.00,,,,,,0.00,1.00,-60.00,58.00,-54.00,53.00,-57.00,49.00,-62.00,75.00
2020-08-01,10:30,,,,,,,,,,,,,,,,,,
2020-08-01,10:45,22.91,57.79,23.00,,,,,,1.00,3.00,-57.00,58.00,-51.00,51.00,-58.00,52.00,-59.00,59.00
2020-08-01,11:00,22.89,58.96,23.00,,,,,,4.00,5.00,-61.00,49.00,-49.00,50.00,-52.00,51.00,-54.00,57.00
2020-08-01,11:15,22.91,59.04,25.00,,,,,,5.00,13.00,-58.00,56.00,-57.00,49.00,-54.00,57.00,-58.00,58.00
2020-08-01,11:30,,,,,,,,,,,,,,,,,,
2020-08-01,11:45,22.93,57.59,24.00,,,,,,13.00,24.00,-59.00,56.00,-49.00,52.00,-51.00,57.00,-61.00,61.00
2020-08-01,12:00,,,,,,,,,,,,,,,,,,
2020-08-01,12:15,22.97,56.29,23.00,,,,,,15.00,22.00,-63.00,61.00,-57.00,55.00,-58.00,59.00,-64.00,58.00
2020-08-01,12:30,,,,,,,,,,,,,,,,,,
2020-08-01,12:45,23.06,56.00,25.00,,,,,,17.00,28.00,-60.00,54.00,-56.00,50.00,-55.00,53.00,-62.00,57.00
2020-08-01,13:00,23.09,55.49,24.00,,,,,,28.00,28.00,-53.00,59.00,-55.00,57.00,-50.00,51.00,-63.00,67.00
2020-08-01,13:15,23.15,55.53,24.00,,,,,,28.00,28.00,-54.00,56.00,-52.00,52.00,-61.00,54.00,-58.00,63.00
2020-08-01,13:30,23.19,55.36,22.00,,,,,,28.00,28.00,-56.00,55.00,-51.00,57.00,-50.00,48.00,-59.00,60.00
2020-08-01,13:45,23.26,54.99,256.00,,,,,,15.00,28.00,-61.00,59.00,-57.00,57.00,-64.00,59.00,-58.00,65.00
2020-08-01,14:00,23.44,55.95,195.00,,,,,,12.00,28.00,-59.00,56.00,-54.00,63.00,-54.00,56.00,-54.00,58.00
2020-08-01,14:15,23.69,56.69,184.00,,,,,,25.00,28.00,-59.00,56.00,-55.00,53.00,-52.00,54.00,-62.00,54.00
2020-08-01,14:30,23.77,56.81,24.00,,,,,,27.00,28.00,-55.00,53.00,-61.00,48.00,-53.00,53.00,-61.00,56.00
2020-08-01,14:45,23.83,57.45,209.00,,,,,,14.00,27.00,-55.00,55.00,-52.00,55.00,-51.00,49.00,-65.00,73.00
2020-08-01,15:00,23.94,57.50,23.00,,,,,,22.00,26.00,-57.00,61.00,-56.00,58.00,-58.00,52.00,-64.00,61.00
2020-08-01,15:15,24.02,57.44,248.00,,,,,,12.00,22.00,-130.00,118.00,-222.00,227.00,-182.00,164.00,-93.00,87.00
2020-08-01,15:30,24.15,57.18,212.00,,,,,,16.00,20.00,-105.00,147.00,-163.00,300.00,-143.00,199.00,-81.00,103.00
2020-08-01,15:45,24.20,56.98,249.00,,,,,,12.00,17.00,-72.00,111.00,-78.00,267.00,-67.00,194.00,-64.00,95.00
