Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2021-03-01,00:00,21.34,29.43,404.00,,,,,,2.00,3.00,-50.00,44.00,-43.00,40.00,-49.00,42.00,-62.00,51.00
2021-03-01,00:15,21.22,28.93,24.00,,,,,,2.00,3.00,-64.00,59.00,-47.00,43.00,-56.00,49.00,-51.00,48.00
2021-03-01,00:30,21.06,29.08,594.00,,,,,,2.00,3.00,-57.00,78.00,-82.00,192.00,-103.00,186.00,-69.00,106.00
2021-03-01,00:45,21.38,29.41,538.00,,,,,,2.00,3.00,-78.00,82.00,-131.00,197.00,-139.00,194.00,-80.00,115.00
2021-03-01,01:00,21.45,28.98,25.00,,,,,,2.00,3.00,-49.00,60.00,-47.00,44.00,-46.00,51.00,-61.00,53.00
2021-03-01,01:15,21.34,28.59,23.00,,,,,,2.00,2.00,-54.00,51.00,-48.00,51.00,-52.00,43.00,-52.00,52.00
2021-03-01,01:30,21.24,28.59,329.00,,,,,,2.00,2.00,-60.00,48.00,-48.00,58.00,-56.00,63.00,-56.00,59.00
2021-03-01,01:45,21.20,28.50,534.00,,,,,,2.00,2.00,-63.00,87.00,-96.00,207.00,-133.00,220.00,-62.00,114.00
2021-03-01,02:00,21.42,28.47,22.00,,,,,,2.00,3.00,-75.00,50.00,-48.00,44.00,-50.00,48.00,-55.00,54.00
2021-03-01,02:15,21.39,28.39,23.00,,,,,,2.00,2.00,-60.00,52.00,-48.00,51.00,-46.00,54.00,-53.00,57.00
2021-03-01,02:30,21.32,28.12,309.00,,,,,,2.00,2.00,-58.00,50.00,-47.00,52.00,-54.00,57.00,-54.00,58.00
2021-03-01,02:45,21.24,27.99,452.00,,,,,,2.00,2.00,-54.00,48.00,-52.00,60.00,-55.00,65.00,-59.00,62.00
2021-03-01,03:00,21.17,28.10,20.00,,,,,,2.00,3.00,-50.00,59.00,-45.00,52.00,-51.00,50.00,-57.00,48.00
2021-03-01,03:15,21.08,28.19,433.00,,,,,,2.00,2.00,-54.00,58.00,-50.00,54.00,-47.00,58.00,-52.00,70.00
2021-03-01,03:30,21.13,28.10,22.00,,,,,,,,-51.00,47.00,-44.00,50.00,-47.00,54.00,-53.00,56.00
2021-03-01,03:45,20.96,28.16,447.00,,,,,,0.00,2.00,-52.00,58.00,-64.00,57.00,-65.00,72.00,-66.00,63.00
2021-03-01,04:00,20.89,28.22,378.00,,,,,,0.00,0.00,-49.00,53.00,-48.00,44.00,-43.00,46.00,-51.00,53.00
2021-03-01,04:15,20.88,28.14,21.00,,,,,,0.00,0.00,-54.00,62.00,-46.00,46.00,-45.00,53.00,-55.00,52.00
2021-03-01,04:30,20.75,28.12,25.00,,,,,,0.00,0.00,-57.00,59.00,-55.00,52.00,-52.00,56.00,-53.00,53.00
2021-03-01,04:45,20.62,28.00,24.00,,,,,,0.00,0.00,-53.00,44.00,-46.00,43.00,-47.00,48.00,-49.00,53.00
2021-03-01,05:00,20.52,28.02,25.00,,,,,,0.00,0.00,-63.00,60.00,-53.00,48.00,-54.00,49.00,-58.00,56.00
2021-03-01,05:15,20.41,27.94,504.00,,,,,,0.00,1.00,-55.00,55.00,-58.00,74.00,-57.00,56.00,-58.00,53.00
2021-03-01,05:30,20.37,27.87,27.00,,,,,,0.00,0.00,-53.00,46.00,-41.00,46.00,-44.00,50.00,-50.00,52.00
2021-03-01,05:45,20.30,27.84,25.00,,,,,,0.00,0.00,-52.00,56.00,-49.00,46.00,-51.00,49.00,-57.00,55.00
2021-03-01,06:00,20.23,27.84,25.00,,,,,,0.00,0.00,-49.00,52.00,-47.00,49.00,-57.00,52.00,-56.00,52.00
2021-03-01,06:15,,,,,,,,,,,,,,,,,,
2021-03-01,06:30,20.07,27.81,25.00,,,,,,0.00,0.00,-59.00,56.00,-53.00,48.00,-59.00,47.00,-63.00,58.00
2021-03-01,06:45,,,,,,,,,,,,,,,,,,
2021-03-01,07:00,19.90,27.89,23.00,,,,,,0.00,0.00,-57.00,54.00,-51.00,54.00,-51.00,49.00,-61.00,66.00
2021-03-01,07:15,,,,,,,,,,,,,,,,,,
2021-03-01,07:30,19.72,27.99,26.00,,,,,,0.00,0.00,-54.00,62.00,-53.00,53.00,-61.00,53.00,-57.00,57.00
2021-03-01,07:45,,,,,,,,,,,,,,,,,,
2021-03-01,08:00,19.55,28.06,23.00,,,,,,0.00,0.00,-54.00,57.00,-50.00,53.00,-51.00,55.00,-61.00,62.00
2021-03-01,08:15,,,,,,,,,,,,,,,,,,
2021-03-01,08:30,19.39,28.10,27.00,,,,,,0.00,0.00,-56.00,55.00,-58.00,50.00,-52.00,52.00,-58.00,52.00
2021-03-01,08:45,19.29,28.15,27.00,,,,,,0.00,0.00,-49.00,55.00,-46.00,54.00,-49.00,52.00,-64.00,51.00
2021-03-01,09:00,19.19,28.24,23.00,,,,,,0.00,0.00,-51.00,51.00,-48.00,48.00,-58.00,57.00,-53.00,53.00
2021-03-01,09:15,,,,,,,,,,,,,,,,,,
2021-03-01,09:30,19.07,28.30,22.00,,,,,,0.00,0.00,-53.00,61.00,-51.00,49.00,-56.00,55.00,-58.00,55.00
2021-03-01,09:45,18.96,28.40,24.00,,,,,,0.00,0.00,-52.00,55.00,-52.00,46.00,-45.00,55.00,-51.00,57.00
2021-03-01,10:00,19.25,28.46,23.00,,,,,,0.00,0.00,-57.00,54.00,-51.00,62.00,-52.00,49.00,-59.00,59.00
2021-03-01,10:15,19.67,28.64,304.00,,,,,,0.00,1.00,-50.00,61.00,-48.00,49.00,-56.00,50.00,-57.00,53.00
2021-03-01,10:30,19.85,28.41,159.00,,,,,,0.00,0.00,-51.00,52.00,-47.00,46.00,-46.00,51.00,-56.00,59.00
2021-03-01,10:45,19.84,28.10,20.00,,,,,,0.00,0.00,-50.00,47.00,-43.00,43.00,-56.00,46.00,-46.00,53.00
2021-03-01,11:00,19.74,28.18,22.00,,,,,,0.00,0.00,-50.00,58.00,-50.00,44.00,-47.00,53.00,-57.00,53.00
2021-03-01,11:15,19.93,28.36,24.00,,,,,,0.00,0.00,-52.00,56.00,-49.00,47.00,-47.00,51.00,-53.00,59.00
2021-03-01,11:30,20.29,28.33,23.00,,,,,,0.00,1.00,-53.00,53.00,-52.00,46.00,-50.00,49.00,-55.00,55.00
2021-03-01,11:45,20.63,28.28,24.00,,,,,,1.00,1.00,-53.00,49.00,-55.00,55.00,-53.00,49.00,-56.00,65.00
2021-03-01,12:00,20.96,28.29,340.00,,,,,,1.00,1.00,-56.00,53.00,-48.00,51.00,-52.00,56.00,-62.00,54.00
