Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2019-03-01,00:00,21.72,11.85,24.00,,,,,,2.00,2.00,-56.00,54.00,-51.00,47.00,-47.00,47.00,-50.00,50.00
2019-03-01,00:15,21.96,11.76,24.00,,,,,,2.00,2.00,-54.00,55.00,-53.00,43.00,-47.00,53.00,-56.00,54.00
2019-03-01,00:30,21.92,11.88,23.00,,,,,,2.00,2.00,-56.00,48.00,-48.00,50.00,-49.00,50.00,-50.00,45.00
2019-03-01,00:45,21.79,11.98,24.00,,,,,,2.00,2.00,-60.00,51.00,-45.00,45.00,-58.00,43.00,-59.00,64.00
2019-03-01,01:00,21.70,11.93,22.00,,,,,,2.00,2.00,-66.00,57.00,-51.00,46.00,-54.00,48.00,-56.00,59.00
2019-03-01,01:15,21.91,11.86,26.00,,,,,,2.00,2.00,-61.00,50.00,-62.00,57.00,-49.00,52.00,-52.00,54.00
2019-03-01,01:30,21.99,11.80,19.00,,,,,,2.00,2.00,-54.00,47.00,-46.00,43.00,-51.00,45.00,-52.00,53.00
2019-03-01,01:45,21.83,11.97,300.00,,,,,,2.00,3.00,-57.00,51.00,-100.00,51.00,-147.00,95.00,-76.00,67.00
2019-03-01,02:00,21.84,12.10,426.00,,,,,,2.00,3.00,-51.00,55.00,-58.00,74.00,-54.00,81.00,-55.00,53.00
2019-03-01,02:15,22.10,12.12,465.00,,,,,,2.00,2.00,-66.00,95.00,-163.00,241.00,-173.00,251.00,-89.00,133.00
2019-03-01,02:30,22.12,12.19,26.00,,,,,,2.00,2.00,-45.00,48.00,-46.00,42.00,-43.00,43.00,-48.00,52.00
2019-03-01,02:45,21.96,12.17,19.00,,,,,,2.00,2.00,-53.00,59.00,-46.00,44.00,-47.00,44.00,-53.00,49.00
2019-03-01,03:00,21.69,12.12,671.00,,,,,,1.00,2.00,-75.00,127.00,-149.00,242.00,-179.00,258.00,-94.00,131.00
2019-03-01,03:15,21.84,11.98,672.00,,,,,,1.00,1.00,-72.00,91.00,-106.00,187.00,-135.00,224.00,-85.00,116.00
2019-03-01,03:30,22.01,11.92,22.00,,,,,,1.00,1.00,-57.00,47.00,-43.00,50.00,-46.00,45.00,-59.00,52.00
