Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2020-11-01,00:00,20.79,33.42,34.00,,,,,,0.00,0.00,-50.00,51.00,-41.00,43.00,-44.00,46.00,-51.00,48.00
2020-11-01,00:15,21.01,33.94,24.00,,,,,,0.00,0.00,-59.00,66.00,-53.00,45.00,-50.00,54.00,-61.00,62.00
2020-11-01,00:30,21.04,33.24,377.00,,,,,,0.00,0.00,-49.00,57.00,-62.00,56.00,-61.00,73.00,-51.00,72.00
2020-11-01,00:45,,,,,,,,,,,,,,,,,,
2020-11-01,01:00,20.97,33.59,451.00,,,,,,0.00,0.00,-70.00,64.00,-53.00,56.00,-70.00,54.00,-64.00,63.00
2020-11-01,01:15,21.34,34.46,335.00,,,,,,0.00,0.00,-56.00,59.00,-50.00,65.00,-54.00,59.00,-61.00,55.00
2020-11-01,01:30,21.46,33.88,432.00,,,,,,0.00,0.00,-72.00,91.00,-94.00,227.00,-99.00,174.00,-67.00,86.00
2020-11-01,01:45,,,,,,,,,,,,,,,,,,
2020-11-01,02:00,21.49,33.98,467.00,,,,,,0.00,0.00,-62.00,72.00,-80.00,139.00,-100.00,176.00,-57.00,97.00
2020-11-01,02:15,21.30,33.54,30.00,,,,,,0.00,0.00,-48.00,52.00,-49.00,43.00,-51.00,46.00,-58.00,56.00
2020-11-01,02:30,21.07,33.64,25.00,,,,,,0.00,0.00,-57.00,59.00,-45.00,46.00,-50.00,48.00,-56.00,49.00
2020-11-01,02:45,,,,,,,,,,,,,,,,,,
2020-11-01,03:00,20.87,33.74,22.00,,,,,,0.00,0.00,-59.00,54.00,-52.00,48.00,-62.00,50.00,-57.00,57.00
2020-11-01,03:15,20.73,33.89,625.00,,,,,,0.00,0.00,-90.00,110.00,-198.00,241.00,-179.00,241.00,-92.00,127.00
2020-11-01,03:30,20.80,34.22,23.00,,,,,,0.00,0.00,-55.00,54.00,-52.00,59.00,-58.00,57.00,-59.00,55.00
2020-11-01,03:45,21.04,34.72,19.00,,,,,,0.00,0.00,-51.00,50.00,-47.00,48.00,-49.00,50.00,-52.00,51.00
2020-11-01,04:00,21.07,33.76,23.00,,,,,,0.00,0.00,-52.00,67.00,-47.00,50.00,-49.00,47.00,-57.00,54.00
2020-11-01,04:15,20.99,33.37,362.00,,,,,,0.00,1.00,-56.00,103.00,-61.00,238.00,-69.00,174.00,-56.00,93.00
2020-11-01,04:30,20.86,33.50,20.00,,,,,,0.00,0.00,-58.00,56.00,-53.00,44.00,-48.00,49.00,-52.00,54.00
2020-11-01,04:45,,,,,,,,,,,,,,,,,,
2020-11-01,05:00,20.78,33.46,36.00,,,,,,0.00,0.00,-53.00,59.00,-53.00,47.00,-54.00,52.00,-168.00,61.00
2020-11-01,05:15,20.99,34.00,24.00,,,,,,0.00,0.00,-52.00,54.00,-47.00,49.00,-57.00,50.00,-50.00,60.00
2020-11-01,05:30,21.07,33.03,23.00,,,,,,0.00,0.00,-54.00,49.00,-48.00,54.00,-47.00,53.00,-55.00,54.00
2020-11-01,05:45,,,,,,,,,,,,,,,,,,
2020-11-01,06:00,20.95,32.83,26.00,,,,,,0.00,0.00,-54.00,59.00,-48.00,50.00,-50.00,53.00,-60.00,65.00
2020-11-01,06:15,20.77,33.01,25.00,,,,,,0.00,0.00,-48.00,58.00,-57.00,55.00,-50.00,51.00,-60.00,54.00
2020-11-01,06:30,20.89,33.69,21.00,,,,,,0.00,0.00,-56.00,54.00,-53.00,47.00,-48.00,47.00,-55.00,60.00
