Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2020-12-01,00:00,21.80,38.61,315.00,,,,,,3.00,3.00,-50.00,53.00,-44.00,55.00,-48.00,47.00,-55.00,57.00
2020-12-01,00:15,21.75,38.39,448.00,,,,,,2.00,3.00,-49.00,48.00,-52.00,44.00,-48.00,50.00,-62.00,49.00
2020-12-01,00:30,21.57,38.49,318.00,,,,,,3.00,4.00,-48.00,49.00,-47.00,45.00,-64.00,47.00,-54.00,45.00
2020-12-01,00:45,21.40,38.50,29.00,,,,,,3.00,3.00,-44.00,50.00,-41.00,48.00,-43.00,41.00,-47.00,49.00
2020-12-01,01:00,21.26,38.54,343.00,,,,,,3.00,3.00,-54.00,51.00,-44.00,54.00,-68.00,64.00,-54.00,50.00
2020-12-01,01:15,21.58,38.92,457.00,,,,,,3.00,4.00,-55.00,56.00,-69.00,64.00,-111.00,70.00,-101.00,63.00
2020-12-01,01:30,22.04,38.46,337.00,,,,,,4.00,4.00,-53.00,52.00,-50.00,48.00,-52.00,60.00,-59.00,47.00
2020-12-01,01:45,22.12,37.58,22.00,,,,,,4.00,4.00,-48.00,47.00,-46.00,45.00,-48.00,47.00,-50.00,47.00
2020-12-01,02:00,21.92,37.20,24.00,,,,,,4.00,4.00,-59.00,56.00,-47.00,44.00,-45.00,53.00,-50.00,52.00
2020-12-01,02:15,21.70,37.42,24.00,,,,,,4.00,4.00,-54.00,48.00,-44.00,45.00,-48.00,45.00,-49.00,61.00
2020-12-01,02:30,21.85,37.68,27.00,,,,,,4.00,4.00,-49.00,55.00,-54.00,47.00,-49.00,46.00,-57.00,57.00
2020-12-01,02:45,22.09,37.61,416.00,,,,,,3.00,4.00,-53.00,51.00,-58.00,59.00,-58.00,52.00,-55.00,52.00
2020-12-01,03:00,22.09,36.81,399.00,,,,,,3.00,4.00,-51.00,55.00,-51.00,61.00,-52.00,44.00,-56.00,56.00
2020-12-01,03:15,22.02,36.80,212.00,,,,,,3.00,4.00,-49.00,47.00,-45.00,49.00,-48.00,42.00,-49.00,44.00
2020-12-01,03:30,21.99,37.92,363.00,,,,,,2.00,3.00,-56.00,50.00,-58.00,60.00,-66.00,64.00,-53.00,53.00
2020-12-01,03:45,21.93,37.67,22.00,,,,,,2.00,2.00,-51.00,48.00,-51.00,41.00,-45.00,48.00,-52.00,48.00
