Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2019-07-01,00:00,22.84,53.31,332.00,,,,,,2.00,3.00,-57.00,82.00,-87.00,143.00,-79.00,160.00,-56.00,78.00
2019-07-01,00:15,22.77,53.46,246.00,,,,,,1.00,2.00,-48.00,49.00,-50.00,59.00,-57.00,62.00,-53.00,48.00
2019-07-01,00:30,22.79,53.10,23.00,,,,,,1.00,2.00,-50.00,51.00,-48.00,46.00,-53.00,53.00,-58.00,56.00
2019-07-01,00:45,,,,,,,,,,,,,,,,,,
2019-07-01,01:00,22.68,53.09,23.00,,,,,,0.00,1.00,-52.00,55.00,-55.00,53.00,-56.00,58.00,-62.00,55.00
2019-07-01,01:15,22.53,52.81,252.00,,,,,,0.00,3.00,-50.00,56.00,-48.00,47.00,-54.00,62.00,-55.00,60.00
2019-07-01,01:30,22.56,53.12,383.00,,,,,,3.00,4.00,-55.00,62.00,-111.00,148.00,-128.00,157.00,-79.00,76.00
2019-07-01,01:45,,,,,,,,,,,,,,,,,,
2019-07-01,02:00,22.47,52.94,25.00,,,,,,3.00,3.00,-55.00,57.00,-57.00,51.00,-54.00,60.00,-70.00,61.00
2019-07-01,02:15,22.40,53.00,22.00,,,,,,3.00,3.00,-50.00,55.00,-57.00,48.00,-51.00,47.00,-60.00,60.00
2019-07-01,02:30,22.36,52.59,299.00,,,,,,3.00,3.00,-62.00,52.00,-52.00,55.00,-57.00,58.00,-57.00,61.00
2019-07-01,02:45,22.38,52.80,285.00,,,,,,2.00,3.00,-48.00,68.00,-52.00,49.00,-53.00,61.00,-50.00,73.00
2019-07-01,03:00,22.41,52.30,276.00,,,,,,2.00,3.00,-59.00,54.00,-48.00,57.00,-56.00,60.00,-55.00,57.00
2019-07-01,03:15,,,,,,,,,,,,,,,,,,
2019-07-01,03:30,22.34,51.97,25.00,,,,,,3.00,3.00,-56.00,58.00,-51.00,50.00,-56.00,55.00,-58.00,62.00
2019-07-01,03:45,22.25,51.93,24.00,,,,,,3.00,3.00,-55.00,55.00,-49.00,49.00,-57.00,52.00,-59.00,58.00
2019-07-01,04:00,22.25,51.44,313.00,,,,,,0.00,3.00,-55.00,51.00,-51.00,60.00,-63.00,68.00,-57.00,64.00
2019-07-01,04:15,22.28,50.88,26.00,,,,,,0.00,0.00,-57.00,50.00,-52.00,50.00,-46.00,54.00,-56.00,53.00
2019-07-01,04:30,22.23,49.99,28.00,,,,,,0.00,0.00,-60.00,57.00,-54.00,48.00,-61.00,52.00,-58.00,61.00
2019-07-01,04:45,22.15,50.06,22.00,,,,,,0.00,0.00,-54.00,51.00,-48.00,50.00,-51.00,50.00,-53.00,57.00
2019-07-01,05:00,22.13,49.92,22.00,,,,,,0.00,0.00,-57.00,56.00,-48.00,51.00,-51.00,51.00,-60.00,56.00
2019-07-01,05:15,22.14,49.75,22.00,,,,,,0.00,0.00,-56.00,56.00,-47.00,55.00,-54.00,49.00,-56.00,58.00
2019-07-01,05:30,,,,,,,,,,,,,,,,,,
2019-07-01,05:45,22.09,49.62,24.00,,,,,,0.00,0.00,-56.00,59.00,-53.00,57.00,-56.00,49.00,-63.00,55.00
2019-07-01,06:00,22.08,49.38,23.00,,,,,,0.00,0.00,-54.00,54.00,-48.00,57.00,-60.00,48.00,-57.00,53.00
2019-07-01,06:15,22.04,49.27,20.00,,,,,,0.00,0.00,-54.00,58.00,-46.00,51.00,-60.00,46.00,-63.00,57.00
2019-07-01,06:30,,,,,,,,,,,,,,,,,,
2019-07-01,06:45,22.02,49.10,23.00,,,,,,0.00,0.00,-54.00,57.00,-57.00,52.00,-56.00,56.00,-65.00,60.00
2019-07-01,07:00,21.95,49.01,21.00,,,,,,0.00,0.00,-60.00,58.00,-60.00,54.00,-59.00,46.00,-57.00,53.00
2019-07-01,07:15,21.94,48.91,23.00,,,,,,0.00,0.00,-55.00,49.00,-54.00,46.00,-51.00,50.00,-62.00,52.00
2019-07-01,07:30,,,,,,,,,,,,,,,,,,
2019-07-01,07:45,21.93,48.80,23.00,,,,,,0.00,0.00,-58.00,52.00,-53.00,62.00,-64.00,50.00,-63.00,61.00
2019-07-01,08:00,21.89,48.68,29.00,,,,,,0.00,0.00,-67.00,53.00,-51.00,53.00,-54.00,50.00,-61.00,55.00
2019-07-01,08:15,21.83,48.65,21.00,,,,,,0.00,0.00,-49.00,48.00,-47.00,48.00,-48.00,47.00,-58.00,56.00
2019-07-01,08:30,,,,,,,,,,,,,,,,,,
2019-07-01,08:45,21.81,48.64,23.00,,,,,,0.00,0.00,-53.00,58.00,-52.00,49.00,-53.00,54.00,-61.00,59.00
2019-07-01,09:00,21.78,48.52,27.00,,,,,,0.00,0.00,-58.00,56.00,-53.00,53.00,-56.00,59.00,-60.00,54.00
2019-07-01,09:15,21.73,48.43,22.00,,,,,,0.00,0.00,-50.00,56.00,-55.00,62.00,-51.00,46.00,-53.00,55.00
