Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2021-02-01,00:00,21.53,22.38,466.00,,,,,,2.00,3.00,-94.00,114.00,-164.00,204.00,-161.00,169.00,-94.00,87.00
2021-02-01,00:15,21.38,22.68,435.00,,,,,,2.00,3.00,-47.00,50.00,-62.00,67.00,-73.00,74.00,-62.00,66.00
2021-02-01,00:30,21.49,22.65,241.00,,,,,,2.00,3.00,-51.00,47.00,-45.00,47.00,-51.00,41.00,-50.00,47.00
2021-02-01,00:45,21.71,21.89,446.00,,,,,,2.00,3.00,-168.00,77.00,-326.00,157.00,-246.00,150.00,-135.00,82.00
2021-02-01,01:00,21.89,21.10,481.00,,,,,,2.00,3.00,-57.00,71.00,-85.00,151.00,-122.00,208.00,-368.00,103.00
2021-02-01,01:15,21.84,20.92,432.00,,,,,,2.00,3.00,-51.00,54.00,-115.00,165.00,-147.00,176.00,-60.00,88.00
2021-02-01,01:30,21.70,20.53,400.00,,,,,,2.00,3.00,-55.00,72.00,-111.00,179.00,-129.00,193.00,-60.00,79.00
2021-02-01,01:45,21.60,20.11,22.00,,,,,,3.00,3.00,-47.00,49.00,-43.00,45.00,-46.00,37.00,-388.00,61.00
2021-02-01,02:00,21.74,19.43,23.00,,,,,,3.00,3.00,-53.00,49.00,-51.00,40.00,-44.00,48.00,-359.00,51.00
2021-02-01,02:15,21.59,18.78,22.00,,,,,,3.00,3.00,-52.00,55.00,-45.00,50.00,-43.00,44.00,-50.00,60.00
2021-02-01,02:30,21.41,18.70,424.00,,,,,,3.00,3.00,-51.00,47.00,-50.00,65.00,-60.00,58.00,-48.00,50.00
2021-02-01,02:45,21.55,18.71,425.00,,,,,,3.00,3.00,-46.00,53.00,-51.00,49.00,-46.00,48.00,-52.00,67.00
2021-02-01,03:00,21.75,18.42,34.00,,,,,,3.00,3.00,-56.00,57.00,-52.00,41.00,-47.00,44.00,-53.00,55.00
2021-02-01,03:15,21.62,18.13,479.00,,,,,,2.00,3.00,-52.00,58.00,-44.00,45.00,-49.00,56.00,-50.00,58.00
2021-02-01,03:30,21.45,17.99,334.00,,,,,,2.00,3.00,-46.00,45.00,-48.00,60.00,-69.00,69.00,-53.00,63.00
2021-02-01,03:45,21.26,17.73,329.00,,,,,,2.00,3.00,-51.00,45.00,-50.00,40.00,-52.00,48.00,-53.00,51.00
2021-02-01,04:00,21.12,17.16,20.00,,,,,,3.00,3.00,-47.00,57.00,-47.00,54.00,-45.00,46.00,-50.00,45.00
2021-02-01,04:15,20.85,17.16,23.00,,,,,,3.00,3.00,-51.00,53.00,-46.00,48.00,-55.00,51.00,-55.00,48.00
2021-02-01,04:30,20.66,17.01,23.00,,,,,,3.00,3.00,-50.00,51.00,-40.00,39.00,-48.00,41.00,-53.00,54.00
