Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2021-01-01,00:00,22.53,27.91,436.00,,,,,,4.00,6.00,-47.00,46.00,-48.00,60.00,-41.00,45.00,-56.00,46.00
2021-01-01,00:15,22.79,27.27,499.00,,,,,,5.00,5.00,-50.00,55.00,-50.00,44.00,-48.00,41.00,-48.00,51.00
2021-01-01,00:30,22.66,27.36,384.00,,,,,,4.00,6.00,-50.00,47.00,-51.00,56.00,-45.00,50.00,-52.00,55.00
2021-01-01,00:45,22.53,27.69,385.00,,,,,,5.00,6.00,-50.00,46.00,-55.00,43.00,-65.00,53.00,-52.00,63.00
2021-01-01,01:00,22.47,27.91,377.00,,,,,,5.00,5.00,-56.00,55.00,-49.00,61.00,-61.00,70.00,-53.00,64.00
2021-01-01,01:15,22.44,27.70,381.00,,,,,,5.00,5.00,-109.00,221.00,-199.00,363.00,-173.00,252.00,-95.00,153.00
2021-01-01,01:30,22.32,27.72,460.00,,,,,,4.00,5.00,-59.00,48.00,-50.00,51.00,-62.00,51.00,-56.00,55.00
2021-01-01,01:45,,,,,,,,,,,,,,,,,,
2021-01-01,02:00,21.97,27.58,26.00,,,,,,5.00,5.00,-52.00,55.00,-48.00,48.00,-47.00,48.00,-61.00,58.00
2021-01-01,02:15,21.69,27.38,464.00,,,,,,5.00,7.00,-74.00,71.00,-131.00,191.00,-155.00,162.00,-77.00,89.00
2021-01-01,02:30,22.08,26.72,115.00,,,,,,7.00,7.00,-49.00,45.00,-47.00,44.00,-64.00,42.00,-56.00,63.00
2021-01-01,02:45,22.00,26.50,22.00,,,,,,6.00,7.00,-50.00,44.00,-47.00,45.00,-45.00,45.00,-50.00,53.00
2021-01-01,03:00,21.89,26.23,84.00,,,,,,6.00,7.00,-51.00,47.00,-48.00,48.00,-51.00,49.00,-57.00,50.00
2021-01-01,03:15,21.66,26.40,385.00,,,,,,5.00,7.00,-57.00,69.00,-72.00,158.00,-86.00,171.00,-63.00,116.00
2021-01-01,03:30,21.72,26.66,488.00,,,,,,5.00,6.00,-50.00,56.00,-52.00,57.00,-71.00,60.00,-63.00,53.00
2021-01-01,03:45,22.02,27.07,29.00,,,,,,6.00,6.00,-54.00,57.00,-49.00,46.00,-45.00,48.00,-58.00,55.00
2021-01-01,04:00,22.18,26.55,424.00,,,,,,4.00,6.00,-80.00,81.00,-192.00,241.00,-163.00,117.00,-69.00,69.00
2021-01-01,04:15,22.22,26.87,260.00,,,,,,5.00,5.00,-45.00,58.00,-42.00,52.00,-46.00,64.00,-53.00,49.00
2021-01-01,04:30,22.22,26.73,533.00,,,,,,4.00,5.00,-73.00,61.00,-172.00,156.00,-182.00,133.00,-78.00,81.00
2021-01-01,04:45,22.09,26.66,517.00,,,,,,0.00,5.00,-54.00,58.00,-87.00,137.00,-118.00,165.00,-77.00,90.00
2021-01-01,05:00,22.01,26.40,,,,,,,,,-48.00,48.00,-48.00,52.00,-57.00,61.00,-54.00,62.00
2021-01-01,05:15,21.86,26.17,25.00,,,,,,0.00,0.00,-60.00,53.00,-49.00,50.00,-48.00,51.00,-63.00,54.00
2021-01-01,05:30,21.76,26.20,22.00,,,,,,0.00,0.00,-52.00,59.00,-57.00,45.00,-60.00,50.00,-49.00,54.00
2021-01-01,05:45,21.99,26.47,26.00,,,,,,0.00,0.00,-56.00,55.00,-55.00,48.00,-48.00,47.00,-62.00,52.00
2021-01-01,06:00,22.06,25.96,26.00,,,,,,0.00,0.00,-56.00,47.00,-50.00,44.00,-51.00,46.00,-57.00,50.00
2021-01-01,06:15,21.98,25.80,22.00,,,,,,0.00,0.00,-44.00,46.00,-48.00,40.00,-41.00,48.00,-52.00,46.00
2021-01-01,06:30,21.78,25.83,25.00,,,,,,0.00,0.00,-56.00,59.00,-57.00,45.00,-45.00,52.00,-64.00,55.00
2021-01-01,06:45,21.78,25.99,24.00,,,,,,0.00,0.00,-62.00,60.00,-57.00,46.00,-64.00,52.00,-206.00,66.00
2021-01-01,07:00,22.02,26.15,20.00,,,,,,0.00,0.00,-52.00,51.00,-48.00,46.00,-61.00,49.00,-54.00,59.00
2021-01-01,07:15,22.02,25.58,23.00,,,,,,0.00,0.00,-51.00,50.00,-47.00,46.00,-49.00,46.00,-54.00,60.00
2021-01-01,07:30,21.90,25.45,27.00,,,,,,0.00,0.00,-52.00,62.00,-49.00,47.00,-49.00,56.00,-55.00,60.00
2021-01-01,07:45,21.71,25.63,24.00,,,,,,0.00,0.00,-57.00,54.00,-56.00,54.00,-51.00,50.00,-58.00,59.00
2021-01-01,08:00,21.73,25.92,26.00,,,,,,0.00,0.00,-55.00,55.00,-59.00,51.00,-50.00,54.00,-57.00,54.00
2021-01-01,08:15,21.99,25.93,24.00,,,,,,0.00,0.00,-50.00,50.00,-48.00,57.00,-63.00,58.00,-60.00,57.00
2021-01-01,08:30,22.09,25.52,25.00,,,,,,0.00,0.00,-54.00,49.00,-48.00,49.00,-51.00,58.00,-187.00,53.00
2021-01-01,08:45,22.00,25.30,22.00,,,,,,0.00,0.00,-54.00,58.00,-55.00,48.00,-50.00,54.00,-56.00,56.00
2021-01-01,09:00,,,,,,,,,,,,,,,,,,
2021-01-01,09:15,21.87,25.39,25.00,,,,,,0.00,0.00,-54.00,55.00,-50.00,49.00,-51.00,64.00,-59.00,52.00
2021-01-01,09:30,21.72,25.66,24.00,,,,,,0.00,0.00,-65.00,57.00,-58.00,47.00,-51.00,51.00,-57.00,62.00
2021-01-01,09:45,21.98,25.87,21.00,,,,,,0.00,0.00,-49.00,56.00,-48.00,51.00,-47.00,54.00,-54.00,49.00
2021-01-01,10:00,21.99,25.42,23.00,,,,,,0.00,0.00,-54.00,50.00,-45.00,50.00,-52.00,47.00,-53.00,59.00
2021-01-01,10:15,21.95,25.28,24.00,,,,,,0.00,0.00,-62.00,70.00,-49.00,51.00,-54.00,49.00,-59.00,60.00
2021-01-01,10:30,21.78,25.46,28.00,,,,,,0.00,0.00,-53.00,52.00,-49.00,50.00,-55.00,48.00,-58.00,68.00
2021-01-01,10:45,21.84,25.59,21.00,,,,,,0.00,0.00,-52.00,65.00,-46.00,45.00,-54.00,50.00,-57.00,58.00
2021-01-01,11:00,22.06,25.78,26.00,,,,,,0.00,0.00,-56.00,51.00,-45.00,47.00,-55.00,45.00,-56.00,51.00
2021-01-01,11:15,22.02,25.26,22.00,,,,,,0.00,0.00,-55.00,61.00,-56.00,51.00,-51.00,57.00,-56.00,53.00
2021-01-01,11:30,21.91,25.29,24.00,,,,,,0.00,0.00,-54.00,56.00,-51.00,46.00,-60.00,53.00,-55.00,55.00
2021-01-01,11:45,21.81,25.39,26.00,,,,,,0.00,0.00,-58.00,52.00,-44.00,44.00,-50.00,46.00,-56.00,52.00
2021-01-01,12:00,21.68,25.37,24.00,,,,,,0.00,0.00,-62.00,55.00,-51.00,49.00,-56.00,50.00,-56.00,58.00
2021-01-01,12:15,21.88,25.73,27.00,,,,,,0.00,0.00,-61.00,55.00,-51.00,45.00,-51.00,57.00,-57.00,65.00
2021-01-01,12:30,21.97,25.21,26.00,,,,,,0.00,0.00,-60.00,52.00,-58.00,45.00,-51.00,53.00,-57.00,56.00
2021-01-01,12:45,21.93,25.20,25.00,,,,,,0.00,0.00,,,,,,,,
2021-01-01,13:00,21.83,25.34,276.00,,,,,,0.00,2.00,-65.00,57.00,-47.00,46.00,-54.00,49.00,-63.00,61.00
2021-01-01,13:15,21.75,26.22,544.00,,,,,,2.00,3.00,-50.00,52.00,-59.00,68.00,-58.00,56.00,-50.00,66.00
2021-01-01,13:30,22.01,27.85,370.00,,,,,,2.00,4.00,-50.00,68.00,-66.00,135.00,-98.00,118.00,-66.00,66.00
2021-01-01,13:45,22.26,27.44,369.00,,,,,,2.00,4.00,-102.00,135.00,-138.00,205.00,-114.00,205.00,-84.00,108.00
2021-01-01,14:00,22.24,26.55,368.00,,,,,,3.00,5.00,-48.00,55.00,-50.00,61.00,-54.00,69.00,-60.00,74.00
2021-01-01,14:15,22.05,26.68,373.00,,,,,,3.00,3.00,-49.00,54.00,-46.00,55.00,-53.00,52.00,-52.00,55.00
2021-01-01,14:30,21.89,26.74,404.00,,,,,,2.00,4.00,-60.00,49.00,-47.00,45.00,-67.00,54.00,-62.00,50.00
2021-01-01,14:45,21.84,27.12,389.00,,,,,,3.00,6.00,-50.00,52.00,-50.00,57.00,-66.00,82.00,-55.00,53.00
2021-01-01,15:00,21.80,27.12,382.00,,,,,,5.00,9.00,-52.00,50.00,-58.00,50.00,-53.00,57.00,-53.00,67.00
2021-01-01,15:15,22.11,27.95,584.00,,,,,,6.00,9.00,-68.00,66.00,-116.00,146.00,-121.00,156.00,-74.00,94.00
2021-01-01,15:30,22.40,27.43,499.00,,,,,,7.00,9.00,-49.00,74.00,-77.00,255.00,-75.00,218.00,-70.00,79.00
2021-01-01,15:45,22.36,26.68,323.00,,,,,,7.00,10.00,-51.00,45.00,-44.00,45.00,-55.00,64.00,-54.00,50.00
2021-01-01,16:00,21.98,24.38,325.00,,,,,,7.00,10.00,-47.00,45.00,-46.00,46.00,-47.00,50.00,-54.00,47.00
2021-01-01,16:15,21.67,22.98,61.00,,,,,,9.00,10.00,-52.00,48.00,-50.00,42.00,-52.00,46.00,-51.00,50.00
2021-01-01,16:30,21.83,24.76,399.00,,,,,,6.00,11.00,-92.00,166.00,-172.00,312.00,-181.00,255.00,-98.00,137.00
2021-01-01,16:45,22.40,26.15,356.00,,,,,,7.00,66.00,-48.00,57.00,-82.00,149.00,-93.00,162.00,-56.00,88.00
2021-01-01,17:00,22.49,25.67,346.00,,,,,,9.00,12.00,-52.00,46.00,-55.00,52.00,-61.00,62.00,-58.00,58.00
2021-01-01,17:15,22.30,26.12,505.00,,,,,,7.00,12.00,-55.00,57.00,-80.00,136.00,-88.00,119.00,-78.00,58.00
2021-01-01,17:30,22.24,26.23,405.00,,,,,,7.00,12.00,-120.00,193.00,-187.00,355.00,-171.00,253.00,-83.00,142.00
2021-01-01,17:45,22.08,26.26,364.00,,,,,,8.00,10.00,-47.00,53.00,-43.00,43.00,-51.00,44.00,-72.00,54.00
2021-01-01,18:00,21.87,26.63,472.00,,,,,,4.00,8.00,-102.00,204.00,-223.00,284.00,-166.00,202.00,-87.00,101.00
